	PID	AGE	Y	CENSORED	SAT	VILLAGE_PAIR
0	1001	14	0	1	0	7.0
1	1001	15	0	1	0	7.0
2	1001	16	0	1	0	7.0
3	1001	17	0	1	0	7.0
4	1001	18	0	1	0	7.0
5	1001	19	0	1	0	7.0
6	1001	20	0	1	0	7.0
7	1001	21	0	1	0	7.0
8	1006	14	0	1	0	7.0
9	1006	15	0	1	0	7.0
10	1006	16	0	1	0	7.0
11	1006	17	0	1	0	7.0
12	1006	18	0	1	0	7.0
13	1006	19	0	1	0	7.0
14	1006	20	0	1	0	7.0
15	1006	21	0	1	0	7.0
16	1010	13	0	1	0	7.0
17	1010	14	0	1	0	7.0
18	1010	15	0	1	0	7.0
19	1010	16	0	1	0	7.0
20	1010	17	0	1	0	7.0
21	1010	18	0	1	0	7.0
22	1010	19	0	1	0	7.0
23	1010	20	0	1	0	7.0
24	1011	13	0	0	0	7.0
25	1011	14	0	0	0	7.0
26	1011	15	0	0	0	7.0
27	1011	16	0	0	0	7.0
28	1011	17	0	0	0	7.0
29	1011	18	1	0	0	7.0
30	1012	14	0	0	1	16.0
31	1012	15	1	0	1	16.0
32	1014	12	0	1	1	16.0
33	1014	13	0	1	1	16.0
34	1014	14	0	1	1	16.0
35	1014	15	0	1	1	16.0
36	1014	16	0	1	1	16.0
37	1014	17	0	1	1	16.0
38	1014	18	0	1	1	16.0
39	1015	17	0	1	1	16.0
40	1015	18	0	1	1	16.0
41	1015	19	0	1	1	16.0
42	1015	20	0	1	1	16.0
43	1015	21	0	1	1	16.0
44	1015	22	0	1	1	16.0
45	1015	23	0	1	1	16.0
46	1015	24	0	1	1	16.0
47	1016	15	0	1	1	16.0
48	1016	16	0	1	1	16.0
49	1016	17	0	1	1	16.0
50	1016	18	0	1	1	16.0
51	1016	19	0	1	1	16.0
52	1016	20	0	1	1	16.0
53	1016	21	0	1	1	16.0
54	1016	22	0	1	1	16.0
55	1019	13	0	0	1	16.0
56	1019	14	0	0	1	16.0
57	1019	15	0	0	1	16.0
58	1019	16	0	0	1	16.0
59	1019	17	1	0	1	16.0
60	1023	12	0	1	1	11.0
61	1023	13	0	1	1	11.0
62	1023	14	0	1	1	11.0
63	1023	15	0	1	1	11.0
64	1023	16	0	1	1	11.0
65	1023	17	0	1	1	11.0
66	1023	18	0	1	1	11.0
67	1023	19	0	1	1	11.0
68	1024	12	0	1	1	11.0
69	1024	13	0	1	1	11.0
70	1024	14	0	1	1	11.0
71	1024	15	0	1	1	11.0
72	1024	16	0	1	1	11.0
73	1024	17	0	1	1	11.0
74	1024	18	0	1	1	11.0
75	1024	19	0	1	1	11.0
76	1028	13	0	0	1	11.0
77	1028	14	0	0	1	11.0
78	1028	15	0	0	1	11.0
79	1028	16	0	0	1	11.0
80	1028	17	0	0	1	11.0
81	1028	18	0	0	1	11.0
82	1028	19	0	0	1	11.0
83	1028	20	1	0	1	11.0
84	1029	12	0	0	1	53.0
85	1029	13	0	0	1	53.0
86	1029	14	0	0	1	53.0
87	1029	15	1	0	1	53.0
88	1030	13	0	0	1	53.0
89	1030	14	0	0	1	53.0
90	1030	15	0	0	1	53.0
91	1030	16	0	0	1	53.0
92	1030	17	0	0	1	53.0
93	1030	18	1	0	1	53.0
94	1031	12	0	1	1	53.0
95	1031	13	0	1	1	53.0
96	1031	14	0	1	1	53.0
97	1031	15	0	1	1	53.0
98	1031	16	0	1	1	53.0
99	1031	17	0	1	1	53.0
100	1031	18	0	1	1	53.0
101	1031	19	0	1	1	53.0
102	1043	12	0	1	1	53.0
103	1043	13	0	1	1	53.0
104	1043	14	0	1	1	53.0
105	1043	15	0	1	1	53.0
106	1043	16	0	1	1	53.0
107	1043	17	0	1	1	53.0
108	1043	18	0	1	1	53.0
109	1043	19	0	1	1	53.0
110	1043	20	0	1	1	53.0
111	1044	17	1	0	0	23.0
112	1045	12	0	0	0	23.0
